ts,run_id,order_id,activity,state,battery_percent,temperature_c,condition_percent,payload_kg,motor_load,speed,distance_delta_m,cumulative_distance_m,cumulative_energy_wh,cumulative_charged_wh
3.0,run_20260915_164344,,idle,idle,99.997,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0
4.0,run_20260915_164344,,idle,idle,99.989,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0
5.0,run_20260915_164344,,idle,idle,99.982,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0
6.024,run_20260915_164344,,idle,idle,99.974,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0
7.0,run_20260915_164344,,idle,idle,99.967,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0
8.0,run_20260915_164344,,idle,idle,99.959,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
9.0,run_20260915_164344,,idle,idle,99.951,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0
10.0,run_20260915_164344,,idle,idle,99.944,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.0
11.0,run_20260915_164344,,driving,driving,99.933,22.025,100.0,0.0,0.687,0.383,0.1286,0.129,0.0147,0.0
12.0,run_20260915_164344,,driving,driving,99.915,22.056,100.0,0.0,0.84,0.468,0.4751,0.604,0.0187,0.0
13.0,run_20260915_164344,,driving,driving,99.896,22.09,100.0,0.0,0.896,0.499,0.4946,1.098,0.0229,0.0
14.0,run_20260915_164344,,driving,driving,99.878,22.122,100.0,0.0,0.885,0.493,0.4814,1.58,0.0269,0.0
15.0,run_20260915_164344,,driving,driving,99.859,22.155,100.0,0.0,0.896,0.499,0.5022,2.082,0.0311,0.0
16.0,run_20260915_164344,,driving,driving,99.84,22.188,100.0,0.0,0.887,0.494,0.4989,2.581,0.0353,0.0
17.0,run_20260915_164344,,driving,driving,99.821,22.22,100.0,0.0,0.87,0.485,0.4916,3.072,0.0394,0.0
18.0,run_20260915_164344,,driving,driving,99.803,22.252,100.0,0.0,0.877,0.489,0.4663,3.539,0.0434,0.0
19.0,run_20260915_164344,,driving,driving,99.784,22.282,100.0,0.0,0.822,0.458,0.472,4.011,0.0474,0.0
20.0,run_20260915_164344,,driving,driving,99.766,22.314,99.999,0.0,0.875,0.488,0.4852,4.496,0.0515,0.0
21.0,run_20260915_164344,,driving,driving,99.747,22.347,99.999,0.0,0.896,0.499,0.4947,4.991,0.0556,0.0
22.0,run_20260915_164344,,driving,driving,99.728,22.379,99.999,0.0,0.885,0.493,0.4954,5.486,0.0598,0.0
23.0,run_20260915_164344,,driving,driving,99.71,22.412,99.999,0.0,0.884,0.493,0.4778,5.964,0.0638,0.0
24.0,run_20260915_164344,,driving,driving,99.691,22.444,99.999,0.0,0.873,0.486,0.4983,6.462,0.068,0.0
25.0,run_20260915_164344,,driving,driving,99.672,22.476,99.999,0.0,0.895,0.499,0.5004,6.962,0.0722,0.0
26.0,run_20260915_164344,,driving,driving,99.653,22.509,99.999,0.0,0.893,0.498,0.4977,7.46,0.0763,0.0
27.0,run_20260915_164344,,driving,driving,99.634,22.541,99.999,0.0,0.895,0.499,0.4992,7.959,0.0805,0.0
28.0,run_20260915_164344,,driving,driving,99.616,22.573,99.999,0.0,0.882,0.491,0.4804,8.44,0.0846,0.0
29.0,run_20260915_164344,,driving,driving,99.597,22.605,99.999,0.0,0.886,0.494,0.495,8.935,0.0887,0.0
30.0,run_20260915_164344,,driving,driving,99.578,22.638,99.999,0.0,0.89,0.496,0.4862,9.421,0.0928,0.0
31.0,run_20260915_164344,,driving,driving,99.56,22.668,99.999,0.0,0.849,0.473,0.4873,9.908,0.0969,0.0
32.0,run_20260915_164344,,driving,driving,99.541,22.701,99.999,0.0,0.895,0.498,0.4812,10.389,0.101,0.0
33.0,run_20260915_164344,,driving,driving,99.523,22.726,99.999,0.0,0.713,0.397,0.4675,10.857,0.105,0.0
34.0,run_20260915_164344,,driving,driving,99.508,22.743,99.999,0.0,0.472,0.263,0.3291,11.186,0.1083,0.0
35.0,run_20260915_164344,,driving,driving,99.497,22.744,99.999,0.0,0.047,0.026,0.1424,11.328,0.1107,0.0
36.0,run_20260915_164344,,loading,loading,99.489,22.743,99.999,0.0,0.0,0.0,0.0173,11.346,0.1124,0.0
37.0,run_20260915_164344,,loading,loading,99.481,22.742,99.999,0.0,0.0,0.0,0.0,11.346,0.1141,0.0
38.0,run_20260915_164344,,loading,loading,99.474,22.742,99.999,0.0,0.0,0.0,0.0,11.346,0.1158,0.0
39.0,run_20260915_164344,,loading,loading,99.466,22.741,99.999,0.0,0.0,0.0,0.0,11.346,0.1174,0.0
40.0,run_20260915_164344,,loading,loading,99.459,22.74,99.999,0.0,0.0,0.0,0.0,11.346,0.1191,0.0
41.0,run_20260915_164344,,loading,loading,99.451,22.739,99.999,0.0,0.0,0.0,0.0,11.346,0.1208,0.0
42.0,run_20260915_164344,,loading,loading,99.444,22.738,99.999,0.0,0.0,0.0,0.0,11.346,0.1224,0.0
43.0,run_20260915_164344,,loading,loading,99.436,22.737,99.999,0.0,0.0,0.0,0.0,11.346,0.1241,0.0
44.0,run_20260915_164344,,loading,loading,99.428,22.737,99.999,0.0,0.0,0.0,0.0,11.346,0.1258,0.0
45.0,run_20260915_164344,,loading,loading,99.421,22.736,99.999,0.0,0.0,0.0,0.0,11.346,0.1274,0.0
46.0,run_20260915_164344,,loading,loading,99.413,22.735,99.999,0.0,0.0,0.0,0.0,11.346,0.1291,0.0
47.0,run_20260915_164344,,loading,loading,99.406,22.734,99.999,0.0,0.0,0.0,0.0,11.346,0.1308,0.0
48.0,run_20260915_164344,,loading,loading,99.398,22.733,99.999,0.0,0.0,0.0,0.0,11.346,0.1324,0.0
49.0,run_20260915_164344,,loading,loading,99.391,22.733,99.999,0.0,0.0,0.0,0.0,11.346,0.1341,0.0
50.0,run_20260915_164344,,loading,loading,99.383,22.732,99.999,0.0,0.0,0.0,0.0,11.346,0.1358,0.0
51.0,run_20260915_164344,,loading,loading,99.375,22.731,99.999,0.0,0.0,0.0,0.0,11.346,0.1374,0.0
52.0,run_20260915_164344,,loading,loading,99.368,22.73,99.999,0.0,0.0,0.0,0.0,11.346,0.1391,0.0
53.0,run_20260915_164344,,loading,loading,99.36,22.729,99.999,0.0,0.0,0.0,0.0,11.346,0.1408,0.0
54.0,run_20260915_164344,,loading,loading,99.353,22.729,99.999,0.0,0.0,0.0,0.0,11.346,0.1424,0.0
55.0,run_20260915_164344,,loading,loading,99.345,22.728,99.999,0.0,0.0,0.0,0.0,11.346,0.1441,0.0
56.0,run_20260915_164344,,loading,loading,99.337,22.727,99.999,0.0,0.0,0.0,0.0,11.346,0.1458,0.0
57.0,run_20260915_164344,,loading,loading,99.33,22.726,99.999,0.0,0.0,0.0,0.0,11.346,0.1474,0.0
58.0,run_20260915_164344,,loading,loading,99.322,22.725,99.999,0.0,0.0,0.0,0.0,11.346,0.1491,0.0
59.0,run_20260915_164344,,loading,loading,99.315,22.725,99.998,0.0,0.0,0.0,0.0,11.346,0.1508,0.0
60.0,run_20260915_164344,,loading,loading,99.307,22.724,99.998,0.0,0.0,0.0,0.0,11.346,0.1524,0.0
61.0,run_20260915_164344,,loading,loading,99.3,22.723,99.998,0.0,0.0,0.0,0.0,11.346,0.1541,0.0
62.0,run_20260915_164344,,loading,loading,99.292,22.722,99.998,0.0,0.0,0.0,0.0,11.346,0.1558,0.0
63.0,run_20260915_164344,,loading,loading,99.284,22.721,99.998,0.0,0.0,0.0,0.0,11.346,0.1574,0.0
64.0,run_20260915_164344,,loading,loading,99.277,22.721,99.998,0.0,0.0,0.0,0.0,11.346,0.1591,0.0
65.0,run_20260915_164344,,loading,loading,99.269,22.72,99.998,0.0,0.0,0.0,0.0,11.346,0.1608,0.0
66.0,run_20260915_164344,,waiting,waiting,99.262,22.719,99.998,0.0,0.0,0.0,0.0,11.346,0.1624,0.0
