sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
3.72,B,RUNNING,0.0,0,0,2,10,0.2,30.0,100.0,938.3889,0.0,0,0.0,0.0
4.0,B,RUNNING,0.284,0,0,2,10,0.2,30.0,100.0,938.1049,0.0,0,0.0,0.0
5.0,B,RUNNING,1.284,0,0,2,10,0.2,30.0,100.0,937.1049,0.0,0,0.0,0.0
6.0,B,RUNNING,2.284,0,0,2,10,0.2,30.0,100.0,936.1049,0.0,0,0.0,0.0
7.0,B,RUNNING,3.284,0,0,2,10,0.2,30.0,100.0,935.1049,0.0,0,0.0,0.0
8.0,B,RUNNING,4.284,0,0,2,10,0.2,30.0,100.0,934.1049,0.0,0,0.0,0.0
9.0,B,RUNNING,5.284,0,0,2,10,0.2,30.0,100.0,933.1049,0.0,0,0.0,0.0
10.0,B,RUNNING,6.284,0,0,2,10,0.2,30.0,100.0,932.1049,0.0,0,0.0,0.0
11.0,B,RUNNING,7.284,0,0,2,10,0.2,30.0,100.0,931.1049,0.0,0,0.0,0.0
12.0,B,RUNNING,8.284,0,0,2,10,0.2,30.0,100.0,930.1049,0.0,0,0.0,0.0
13.0,B,RUNNING,9.284,0,0,2,10,0.2,30.0,100.0,929.1049,0.0,0,0.0,0.0
14.0,B,RUNNING,10.284,0,0,2,10,0.2,30.0,100.0,928.1049,0.0,0,0.0,0.0
15.0,B,RUNNING,11.284,0,0,2,10,0.2,30.0,100.0,927.1049,0.0,0,0.0,0.0
16.0,B,RUNNING,12.284,0,0,2,10,0.2,30.0,100.0,926.1049,0.0,0,0.0,0.0
17.0,B,RUNNING,13.284,0,0,2,10,0.2,30.0,100.0,925.1049,0.0,0,0.0,0.0
18.0,B,RUNNING,14.284,0,0,2,10,0.2,30.0,100.0,924.1049,0.0,0,0.0,0.0
19.0,B,RUNNING,15.284,0,0,2,10,0.2,30.0,100.0,923.1049,0.0,0,0.0,0.0
20.0,B,RUNNING,16.284,0,0,2,10,0.2,30.0,100.0,922.1049,0.0,0,0.0,0.0
21.0,B,RUNNING,17.284,0,0,2,10,0.2,30.0,100.0,921.1049,0.0,0,0.0,0.0
22.0,B,RUNNING,18.284,0,0,2,10,0.2,30.0,100.0,920.1049,0.0,0,0.0,0.0
23.0,B,RUNNING,19.284,0,0,2,10,0.2,30.0,100.0,919.1049,0.0,0,0.0,0.0
24.0,B,RUNNING,20.284,0,0,2,10,0.2,30.0,100.0,918.1049,0.0,0,0.0,0.0
25.0,B,RUNNING,21.284,0,0,2,10,0.2,30.0,100.0,917.1049,0.0,0,0.0,0.0
26.0,B,RUNNING,22.284,0,0,2,10,0.2,30.0,100.0,916.1049,0.0,0,0.0,0.0
27.0,B,RUNNING,23.284,0,0,2,10,0.2,30.0,100.0,915.1049,0.0,0,0.0,0.0
28.0,B,RUNNING,24.284,0,0,2,10,0.2,30.0,100.0,914.1049,0.0,0,0.0,0.0
29.0,B,RUNNING,25.284,0,0,2,10,0.2,30.0,100.0,913.1049,0.0,0,0.0,0.0
30.0,B,RUNNING,26.284,0,0,2,10,0.2,30.0,100.0,912.1049,0.0,0,0.0,0.0
31.0,B,RUNNING,27.284,0,0,2,10,0.2,30.0,100.0,911.1049,0.0,0,0.0,0.0
32.0,B,RUNNING,28.284,0,0,2,10,0.2,30.0,100.0,910.1049,0.0,0,0.0,0.0
33.0,B,RUNNING,29.284,0,0,2,10,0.2,30.0,100.0,909.1049,0.0,0,0.0,0.0
34.0,B,RUNNING,30.284,0,0,2,10,0.2,30.0,100.0,908.1049,0.0,0,0.0,0.0
35.0,B,RUNNING,31.284,0,0,2,10,0.2,30.0,100.0,907.1049,0.0,0,0.0,0.0
36.0,B,RUNNING,32.284,0,0,2,10,0.2,30.0,100.0,906.1049,0.0,0,0.0,0.0
37.0,B,RUNNING,33.284,0,0,2,10,0.2,30.0,100.0,905.1049,0.0,0,0.0,0.0
38.0,B,RUNNING,34.284,0,0,2,10,0.2,30.0,100.0,904.1049,0.0,0,0.0,0.0
39.0,B,RUNNING,35.284,0,0,2,10,0.2,30.0,100.0,903.1049,0.0,0,0.0,0.0
40.0,B,RUNNING,36.284,0,0,2,10,0.2,30.0,100.0,902.1049,0.0,0,0.0,0.0
41.0,B,RUNNING,37.284,0,0,2,10,0.2,30.0,100.0,901.1049,0.0,0,0.0,0.0
42.0,B,RUNNING,38.284,0,0,2,10,0.2,30.0,100.0,900.1049,0.0,0,0.0,0.0
43.0,B,RUNNING,39.284,0,0,2,10,0.2,30.0,100.0,899.1049,0.0,0,0.0,0.0
44.0,B,RUNNING,40.284,0,0,2,10,0.2,30.0,100.0,898.1049,0.0,0,0.0,0.0
45.0,B,RUNNING,41.284,0,0,2,10,0.2,30.0,100.0,897.1049,0.0,0,0.0,0.0
46.0,B,RUNNING,42.284,0,0,2,10,0.2,30.0,100.0,896.1049,0.0,0,0.0,0.0
47.0,B,RUNNING,43.284,0,0,2,10,0.2,30.0,100.0,895.1049,0.0,0,0.0,0.0
48.0,B,RUNNING,44.284,0,0,2,10,0.2,30.0,100.0,894.1049,0.0,0,0.0,0.0
49.0,B,RUNNING,45.284,0,0,2,10,0.2,30.0,100.0,893.1049,0.0,0,0.0,0.0
50.0,B,RUNNING,46.284,0,0,2,10,0.2,30.0,100.0,892.1049,0.0,0,0.0,0.0
51.0,B,RUNNING,47.284,0,0,2,10,0.2,30.0,100.0,891.1049,0.0,0,0.0,0.0
52.0,B,RUNNING,48.284,0,0,2,10,0.2,30.0,100.0,890.1049,0.0,0,0.0,0.0
53.0,B,RUNNING,49.284,0,0,2,10,0.2,30.0,100.0,889.1049,0.0,0,0.0,0.0
54.0,B,RUNNING,50.284,0,0,2,10,0.2,30.0,100.0,888.1049,0.0,0,0.0,0.0
55.0,B,RUNNING,51.284,0,0,2,10,0.2,30.0,100.0,887.1049,0.0,0,0.0,0.0
56.0,B,RUNNING,52.284,0,0,2,10,0.2,30.0,100.0,886.1049,0.0,0,0.0,0.0
57.0,B,RUNNING,53.284,0,0,2,10,0.2,30.0,100.0,885.1049,0.0,0,0.0,0.0
58.0,B,RUNNING,54.284,0,0,2,10,0.2,30.0,100.0,884.1049,0.0,0,0.0,0.0
59.0,B,RUNNING,55.284,0,0,2,10,0.2,30.0,100.0,883.1049,0.0,0,0.0,0.0
60.0,B,RUNNING,56.284,0,0,2,10,0.2,30.0,100.0,882.1049,0.0,0,0.0,0.0
61.0,B,RUNNING,57.284,0,0,2,10,0.2,30.0,100.0,881.1049,0.0,0,0.0,0.0
62.0,B,RUNNING,58.284,0,0,2,10,0.2,30.0,100.0,880.1049,0.0,0,0.0,0.0
63.0,B,RUNNING,59.284,0,0,2,10,0.2,30.0,100.0,879.1049,0.0,0,0.0,0.0
64.0,B,RUNNING,60.284,0,0,2,10,0.2,30.0,100.0,878.1049,0.0,0,0.0,0.0
65.0,B,RUNNING,61.284,0,0,2,10,0.2,30.0,100.0,877.1049,0.0,0,0.0,0.0
66.0,B,RUNNING,62.284,0,0,2,10,0.2,30.0,100.0,876.1049,0.0,0,0.0,0.0
67.0,B,RUNNING,63.284,0,0,2,10,0.2,30.0,100.0,875.1049,0.0,0,0.0,0.0
68.0,B,RUNNING,64.284,0,0,2,10,0.2,30.0,100.0,874.1049,0.0,0,0.0,0.0
69.0,B,RUNNING,65.284,0,0,2,10,0.2,30.0,100.0,873.1049,0.0,0,0.0,0.0
70.0,B,RUNNING,66.284,0,0,2,10,0.2,30.0,100.0,872.1049,0.0,0,0.0,0.0
71.0,B,RUNNING,67.284,0,0,2,10,0.2,30.0,100.0,871.1049,0.0,0,0.0,0.0
72.0,B,RUNNING,68.284,0,0,2,10,0.2,30.0,100.0,870.1049,0.0,0,0.0,0.0
73.0,B,RUNNING,69.284,0,0,2,10,0.2,30.0,100.0,869.1049,0.0,0,0.0,0.0
74.0,B,RUNNING,70.284,0,0,2,10,0.2,30.0,100.0,868.1049,0.0,0,0.0,0.0
75.0,B,RUNNING,71.284,0,0,2,10,0.2,30.0,100.0,867.1049,0.0,0,0.0,0.0
76.0,B,RUNNING,72.284,0,0,2,10,0.2,30.0,100.0,866.1049,0.0,0,0.0,0.0
77.0,B,RUNNING,73.284,0,0,2,10,0.2,30.0,100.0,865.1049,0.0,0,0.0,0.0
78.0,B,RUNNING,74.284,0,0,2,10,0.2,30.0,100.0,864.1049,0.0,0,0.0,0.0
79.0,B,RUNNING,75.284,0,0,2,10,0.2,30.0,100.0,863.1049,0.0,0,0.0,0.0
80.0,B,RUNNING,76.284,0,0,2,10,0.2,30.0,100.0,862.1049,0.0,0,0.0,0.0
81.0,B,RUNNING,77.284,0,0,2,10,0.2,30.0,100.0,861.1049,0.0,0,0.0,0.0
82.0,B,RUNNING,78.284,0,0,2,10,0.2,30.0,100.0,860.1049,0.0,0,0.0,0.0
83.0,B,RUNNING,79.284,0,0,2,10,0.2,30.0,100.0,859.1049,0.0,0,0.0,0.0
84.0,B,RUNNING,80.284,0,0,2,10,0.2,30.0,100.0,858.1049,0.0,0,0.0,0.0
85.0,B,RUNNING,81.284,0,0,2,10,0.2,30.0,100.0,857.1049,0.0,0,0.0,0.0
86.0,B,RUNNING,82.284,0,0,2,10,0.2,30.0,100.0,856.1049,0.0,0,0.0,0.0
87.0,B,RUNNING,83.284,0,0,2,10,0.2,30.0,100.0,855.1049,0.0,0,0.0,0.0
88.0,B,RUNNING,84.284,0,0,2,10,0.2,30.0,100.0,854.1049,0.0,0,0.0,0.0
89.0,B,RUNNING,85.284,0,0,2,10,0.2,30.0,100.0,853.1049,0.0,0,0.0,0.0
90.0,B,RUNNING,86.284,0,0,2,10,0.2,30.0,100.0,852.1049,0.0,0,0.0,0.0
91.0,B,RUNNING,87.284,0,0,2,10,0.2,30.0,100.0,851.1049,0.0,0,0.0,0.0
92.0,B,RUNNING,88.284,0,0,2,10,0.2,30.0,100.0,850.1049,0.0,0,0.0,0.0
93.0,B,RUNNING,89.284,0,0,2,10,0.2,30.0,100.0,849.1049,0.0,0,0.0,0.0
94.0,B,RUNNING,90.284,0,0,2,10,0.2,30.0,100.0,848.1049,0.0,0,0.0,0.0
95.0,B,RUNNING,91.284,0,0,2,10,0.2,30.0,100.0,847.1049,0.0,0,0.0,0.0
96.0,B,RUNNING,92.284,0,0,2,10,0.2,30.0,100.0,846.1049,0.0,0,0.0,0.0
97.0,B,RUNNING,93.284,0,0,2,10,0.2,30.0,100.0,845.1049,0.0,0,0.0,0.0
98.0,B,RUNNING,94.284,0,0,2,10,0.2,30.0,100.0,844.1049,0.0,0,0.0,0.0
99.0,B,RUNNING,95.284,0,0,2,10,0.2,30.0,100.0,843.1049,0.0,0,0.0,0.0
100.0,B,RUNNING,96.284,0,0,2,10,0.2,30.0,100.0,842.1049,0.0,0,0.0,0.0
101.0,B,RUNNING,97.284,0,0,2,10,0.2,30.0,100.0,841.1049,0.0,0,0.0,0.0
102.0,B,RUNNING,98.284,0,0,2,10,0.2,30.0,100.0,840.1049,0.0,0,0.0,0.0
103.0,B,RUNNING,99.284,1,0,3,10,0.3,30.0,99.9,851.4735,0.0,0,0.0,0.0
104.0,B,RUNNING,100.284,1,0,3,10,0.3,30.0,99.9,850.4735,0.0,0,0.0,0.0
105.0,B,RUNNING,101.284,1,0,3,10,0.3,30.0,99.9,849.4735,0.0,0,0.0,0.0
106.0,B,RUNNING,102.284,1,0,3,10,0.3,30.0,99.9,848.4735,0.0,0,0.0,0.0
107.0,B,RUNNING,103.284,1,0,3,10,0.3,30.0,99.9,847.4735,0.0,0,0.0,0.0
108.0,B,RUNNING,104.284,1,0,3,10,0.3,30.0,99.9,846.4735,0.0,0,0.0,0.0
109.0,B,RUNNING,105.284,1,0,3,10,0.3,30.0,99.9,845.4735,0.0,0,0.0,0.0
110.0,B,RUNNING,106.284,1,0,3,10,0.3,30.0,99.9,844.4735,0.0,0,0.0,0.0
111.0,B,RUNNING,107.284,1,0,3,10,0.3,30.0,99.9,843.4735,0.0,0,0.0,0.0
112.0,B,RUNNING,108.284,1,0,3,10,0.3,30.0,99.9,842.4735,0.0,0,0.0,0.0
113.0,B,RUNNING,109.284,1,0,3,10,0.3,30.0,99.9,841.4735,0.0,0,0.0,0.0
114.0,B,RUNNING,110.284,1,0,3,10,0.3,30.0,99.9,840.4735,0.0,0,0.0,0.0
115.0,B,RUNNING,111.284,1,0,3,10,0.3,30.0,99.9,839.4735,0.0,0,0.0,0.0
116.0,B,RUNNING,112.284,1,0,3,10,0.3,30.0,99.9,838.4735,0.0,0,0.0,0.0
117.0,B,RUNNING,113.284,1,0,3,10,0.3,30.0,99.9,837.4735,0.0,0,0.0,0.0
118.0,B,RUNNING,114.284,1,0,3,10,0.3,30.0,99.9,836.4735,0.0,0,0.0,0.0
119.0,B,RUNNING,115.284,1,0,3,10,0.3,30.0,99.9,835.4735,0.0,0,0.0,0.0
120.0,B,RUNNING,116.284,1,0,3,10,0.3,30.0,99.9,834.4735,0.0,0,0.0,0.0
121.0,B,RUNNING,117.284,1,0,3,10,0.3,30.0,99.9,833.4735,0.0,0,0.0,0.0
122.0,B,RUNNING,118.284,1,0,3,10,0.3,30.0,99.9,832.4735,0.0,0,0.0,0.0
123.0,B,RUNNING,119.284,1,0,3,10,0.3,30.0,99.9,831.4735,0.0,0,0.0,0.0
124.0,B,RUNNING,120.284,1,0,3,10,0.3,30.0,99.9,830.4735,0.0,0,0.0,0.0
125.0,B,RUNNING,121.284,1,0,3,10,0.3,30.0,99.9,829.4735,0.0,0,0.0,0.0
126.0,B,RUNNING,122.284,1,0,3,10,0.3,30.0,99.9,828.4735,0.0,0,0.0,0.0
127.0,B,RUNNING,123.284,1,0,3,10,0.3,30.0,99.9,827.4735,0.0,0,0.0,0.0
128.0,B,RUNNING,124.284,1,0,3,10,0.3,30.0,99.9,826.4735,0.0,0,0.0,0.0
129.0,B,RUNNING,125.284,1,0,3,10,0.3,30.0,99.9,825.4735,0.0,0,0.0,0.0
130.0,B,RUNNING,126.284,1,0,3,10,0.3,30.0,99.9,824.4735,0.0,0,0.0,0.0
131.0,B,RUNNING,127.284,1,0,3,10,0.3,30.0,99.9,823.4735,0.0,0,0.0,0.0
132.0,B,RUNNING,128.284,1,0,3,10,0.3,30.0,99.9,822.4735,0.0,0,0.0,0.0
133.0,B,RUNNING,129.284,1,0,3,10,0.3,30.0,99.9,821.4735,0.0,0,0.0,0.0
134.0,B,RUNNING,130.284,1,0,3,10,0.3,30.0,99.9,820.4735,0.0,0,0.0,0.0
135.0,B,RUNNING,131.284,1,0,3,10,0.3,30.0,99.9,819.4735,0.0,0,0.0,0.0
136.0,B,RUNNING,132.284,1,0,3,10,0.3,30.0,99.9,818.4735,0.0,0,0.0,0.0
137.0,B,RUNNING,133.284,1,0,3,10,0.3,30.0,99.9,817.4735,0.0,0,0.0,0.0
138.0,B,RUNNING,134.284,1,0,3,10,0.3,30.0,99.9,816.4735,0.0,0,0.0,0.0
139.0,B,RUNNING,135.284,1,0,3,10,0.3,30.0,99.9,815.4735,0.0,0,0.0,0.0
140.0,B,RUNNING,136.284,1,0,3,10,0.3,30.0,99.9,814.4735,0.0,0,0.0,0.0
141.0,B,RUNNING,137.284,1,0,3,10,0.3,30.0,99.9,813.4735,0.0,0,0.0,0.0
142.0,B,RUNNING,138.284,1,0,3,10,0.3,30.0,99.9,812.4735,0.0,0,0.0,0.0
143.0,B,RUNNING,139.284,1,0,3,10,0.3,30.0,99.9,811.4735,0.0,0,0.0,0.0
144.0,B,RUNNING,140.284,1,0,3,10,0.3,30.0,99.9,810.4735,0.0,0,0.0,0.0
145.0,B,RUNNING,141.284,1,0,3,10,0.3,30.0,99.9,809.4735,0.0,0,0.0,0.0
146.0,B,RUNNING,142.284,1,0,3,10,0.3,30.0,99.9,808.4735,0.0,0,0.0,0.0
147.0,B,RUNNING,143.284,1,0,3,10,0.3,30.0,99.9,807.4735,0.0,0,0.0,0.0
148.0,B,RUNNING,144.284,1,0,3,10,0.3,30.0,99.9,806.4735,0.0,0,0.0,0.0
149.0,B,RUNNING,145.284,1,0,3,10,0.3,30.0,99.9,805.4735,0.0,0,0.0,0.0
150.0,B,RUNNING,146.284,1,0,3,10,0.3,30.0,99.9,804.4735,0.0,0,0.0,0.0
151.0,B,RUNNING,147.284,1,0,3,10,0.3,30.0,99.9,803.4735,0.0,0,0.0,0.0
152.0,B,RUNNING,148.284,1,0,3,10,0.3,30.0,99.9,802.4735,0.0,0,0.0,0.0
153.0,B,RUNNING,149.284,1,0,3,10,0.3,30.0,99.9,801.4735,0.0,0,0.0,0.0
154.0,B,RUNNING,150.284,1,0,3,10,0.3,30.0,99.9,800.4735,0.0,0,0.0,0.0
155.0,B,RUNNING,151.284,1,0,3,10,0.3,30.0,99.9,799.4735,0.0,0,0.0,0.0
156.0,B,RUNNING,152.284,1,0,3,10,0.3,30.0,99.9,798.4735,0.0,0,0.0,0.0
157.0,B,RUNNING,153.284,1,0,3,10,0.3,30.0,99.9,797.4735,0.0,0,0.0,0.0
158.0,B,RUNNING,154.284,1,0,3,10,0.3,30.0,99.9,796.4735,0.0,0,0.0,0.0
