seq,action,target,phase,detail,sim_start_s,duration_s,predicted_duration_s,distance_m,predicted_distance_m,energy_wh,predicted_energy_wh,charged_wh,predicted_charged_wh,battery_start_percent,battery_end_percent,predicted_battery_end_percent,payload_kg,units,location,recovery
1,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",14.16,62.91,68.92,15.011,15.18,0.1801,0.1908,0.0,0.0,99.923,99.105,99.056,0.8,2,B,
2,DELIVER,delivery,SUCCEEDED,delivered 2 units,77.08,56.38,56.31,10.157,10.26,0.1536,0.1547,0.0,0.0,99.105,98.407,98.402,0.0,2,delivery,
3,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",133.46,53.59,56.31,10.035,10.26,0.1402,0.1451,0.0,0.0,98.407,97.769,97.747,0.4,1,B,
4,DELIVER,delivery,SUCCEEDED,delivered 1 units,187.06,56.76,56.31,10.113,10.26,0.1486,0.1499,0.0,0.0,97.769,97.094,97.088,0.0,1,delivery,
5,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",243.84,54.79,55.67,9.865,10.01,0.141,0.1428,0.0,0.0,97.094,96.453,96.445,1.0,2,A,
6,DELIVER,delivery,SUCCEEDED,delivered 2 units,298.64,56.05,55.67,9.833,10.01,0.154,0.1545,0.0,0.0,96.453,95.753,95.751,0.0,2,delivery,
7,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",354.69,53.49,56.31,10.054,10.26,0.1405,0.1453,0.0,0.0,95.753,95.114,95.093,0.8,2,B,
8,DELIVER,delivery,SUCCEEDED,delivered 2 units,408.19,56.77,56.31,10.186,10.26,0.154,0.1549,0.0,0.0,95.114,94.414,94.41,0.0,2,delivery,
9,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",464.96,53.57,56.31,10.032,10.26,0.1406,0.1454,0.0,0.0,94.414,93.775,93.753,0.4,1,B,
10,DELIVER,delivery,SUCCEEDED,delivered 1 units,518.54,56.56,56.31,10.12,10.26,0.1508,0.1503,0.0,0.0,93.775,93.09,93.092,0.0,1,delivery,
11,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",575.1,53.54,56.31,10.012,10.26,0.1389,0.1456,0.0,0.0,93.09,92.458,92.428,0.4,1,B,
12,DELIVER,delivery,SUCCEEDED,delivered 1 units,628.64,56.87,56.31,10.171,10.26,0.1512,0.1505,0.0,0.0,92.458,91.771,91.774,0.0,1,delivery,
13,PICKUP,A,SUCCEEDED,"took 2 units (1.00 kg), 0 left",685.51,52.99,55.67,9.749,10.01,0.1377,0.1434,0.0,0.0,91.771,91.145,91.119,1.0,2,A,
14,DELIVER,delivery,SUCCEEDED,delivered 2 units,738.51,56.41,55.67,9.873,10.01,0.1551,0.1552,0.0,0.0,91.145,90.44,90.439,0.0,2,delivery,
15,PICKUP,B,SUCCEEDED,"took 2 units (0.80 kg), 0 left",794.92,53.36,56.31,10.102,10.26,0.1412,0.1459,0.0,0.0,90.44,89.798,89.777,0.8,2,B,
16,DELIVER,delivery,SUCCEEDED,delivered 2 units,848.29,56.68,56.31,10.191,10.26,0.1548,0.1556,0.0,0.0,89.798,89.095,89.091,0.0,2,delivery,
17,PICKUP,C,SUCCEEDED,"took 1 units (1.50 kg), 0 left",904.98,47.8,46.15,6.333,6.3,0.1122,0.1089,0.0,0.0,89.095,88.585,88.6,1.5,1,C,
18,DELIVER,delivery,SUCCEEDED,delivered 1 units,952.79,48.56,46.15,6.507,6.3,0.1263,0.1201,0.0,0.0,88.585,88.011,88.039,0.0,1,delivery,
19,PICKUP,B,SUCCEEDED,"took 1 units (0.40 kg), 0 left",1001.35,53.47,56.31,9.961,10.26,0.139,0.146,0.0,0.0,88.011,87.379,87.347,0.4,1,B,
20,DELIVER,delivery,SUCCEEDED,delivered 1 units,1054.83,56.58,56.31,10.102,10.26,0.1512,0.1509,0.0,0.0,87.379,86.691,86.693,0.0,1,delivery,
21,PICKUP,A,SUCCEEDED,"took 3 units (1.50 kg), 0 left",1111.42,53.36,55.67,9.868,10.01,0.1387,0.1437,0.0,0.0,86.691,86.061,86.038,1.5,3,A,
22,DELIVER,delivery,SUCCEEDED,delivered 3 units,1164.79,56.17,55.67,9.849,10.01,0.1611,0.1615,0.0,0.0,86.061,85.329,85.327,0.0,3,delivery,
