sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
3.84,C,RUNNING,0.0,0,0,0,3,0.0,5.0,100.0,2272.4915,0.0,0,0.0,0.0
4.0,C,RUNNING,0.156,0,0,0,3,0.0,5.0,100.0,2272.3355,0.0,0,0.0,0.0
5.0,C,RUNNING,1.156,0,0,0,3,0.0,5.0,100.0,2271.3355,0.0,0,0.0,0.0
6.0,C,RUNNING,2.156,0,0,0,3,0.0,5.0,100.0,2270.3355,0.0,0,0.0,0.0
7.0,C,RUNNING,3.156,0,0,0,3,0.0,5.0,100.0,2269.3355,0.0,0,0.0,0.0
8.0,C,RUNNING,4.156,0,0,0,3,0.0,5.0,100.0,2268.3355,0.0,0,0.0,0.0
9.0,C,RUNNING,5.156,0,0,0,3,0.0,5.0,100.0,2267.3355,0.0,0,0.0,0.0
10.0,C,RUNNING,6.156,0,0,0,3,0.0,5.0,100.0,2266.3355,0.0,0,0.0,0.0
11.0,C,RUNNING,7.156,0,0,0,3,0.0,5.0,100.0,2265.3355,0.0,0,0.0,0.0
12.0,C,RUNNING,8.156,0,0,0,3,0.0,5.0,100.0,2264.3355,0.0,0,0.0,0.0
13.0,C,RUNNING,9.156,0,0,0,3,0.0,5.0,100.0,2263.3355,0.0,0,0.0,0.0
14.0,C,RUNNING,10.156,0,0,0,3,0.0,5.0,100.0,2262.3355,0.0,0,0.0,0.0
15.0,C,RUNNING,11.156,0,0,0,3,0.0,5.0,100.0,2261.3355,0.0,0,0.0,0.0
16.0,C,RUNNING,12.156,0,0,0,3,0.0,5.0,100.0,2260.3355,0.0,0,0.0,0.0
17.0,C,RUNNING,13.156,0,0,0,3,0.0,5.0,100.0,2259.3355,0.0,0,0.0,0.0
18.0,C,RUNNING,14.156,0,0,0,3,0.0,5.0,100.0,2258.3355,0.0,0,0.0,0.0
19.0,C,RUNNING,15.156,0,0,0,3,0.0,5.0,100.0,2257.3355,0.0,0,0.0,0.0
20.0,C,RUNNING,16.156,0,0,0,3,0.0,5.0,100.0,2256.3355,0.0,0,0.0,0.0
21.0,C,RUNNING,17.156,0,0,0,3,0.0,5.0,100.0,2255.3355,0.0,0,0.0,0.0
22.0,C,RUNNING,18.156,0,0,0,3,0.0,5.0,100.0,2254.3355,0.0,0,0.0,0.0
23.0,C,RUNNING,19.156,0,0,0,3,0.0,5.0,100.0,2253.3355,0.0,0,0.0,0.0
24.0,C,RUNNING,20.156,0,0,0,3,0.0,5.0,100.0,2252.3355,0.0,0,0.0,0.0
25.0,C,RUNNING,21.156,0,0,0,3,0.0,5.0,100.0,2251.3355,0.0,0,0.0,0.0
26.0,C,RUNNING,22.156,0,0,0,3,0.0,5.0,100.0,2250.3355,0.0,0,0.0,0.0
27.0,C,RUNNING,23.156,0,0,0,3,0.0,5.0,100.0,2249.3355,0.0,0,0.0,0.0
28.0,C,RUNNING,24.156,0,0,0,3,0.0,5.0,100.0,2248.3355,0.0,0,0.0,0.0
29.0,C,RUNNING,25.156,0,0,0,3,0.0,5.0,100.0,2247.3355,0.0,0,0.0,0.0
30.0,C,RUNNING,26.156,0,0,0,3,0.0,5.0,100.0,2246.3355,0.0,0,0.0,0.0
31.0,C,RUNNING,27.156,0,0,0,3,0.0,5.0,100.0,2245.3355,0.0,0,0.0,0.0
