sim_time_s,section_id,status,factory_time_s,produced_total,picked_total,buffer_units,buffer_capacity,buffer_fill,rate_actual_per_hour,health_percent,time_to_full_s,fault_remaining_s,faults_total,lost_units,blocked_time_s
1.69,A,RUNNING,0.0,0,0,4,8,0.5,20.0,100.0,757.98,0.0,0,0.0,0.0
2.0,A,RUNNING,0.312,0,0,4,8,0.5,20.0,100.0,757.668,0.0,0,0.0,0.0
3.0,A,RUNNING,1.312,0,0,4,8,0.5,20.0,100.0,756.668,0.0,0,0.0,0.0
4.0,A,RUNNING,2.312,0,0,4,8,0.5,20.0,100.0,755.668,0.0,0,0.0,0.0
5.0,A,RUNNING,3.312,0,0,4,8,0.5,20.0,100.0,754.668,0.0,0,0.0,0.0
6.0,A,RUNNING,4.312,0,0,4,8,0.5,20.0,100.0,753.668,0.0,0,0.0,0.0
7.0,A,RUNNING,5.312,0,0,4,8,0.5,20.0,100.0,752.668,0.0,0,0.0,0.0
8.0,A,RUNNING,6.316,0,0,4,8,0.5,20.0,100.0,751.664,0.0,0,0.0,0.0
9.0,A,RUNNING,7.312,0,0,4,8,0.5,20.0,100.0,750.668,0.0,0,0.0,0.0
10.0,A,RUNNING,8.312,0,0,4,8,0.5,20.0,100.0,749.668,0.0,0,0.0,0.0
11.0,A,RUNNING,9.312,0,0,4,8,0.5,20.0,100.0,748.668,0.0,0,0.0,0.0
12.0,A,RUNNING,10.312,0,0,4,8,0.5,20.0,100.0,747.668,0.0,0,0.0,0.0
13.0,A,RUNNING,11.312,0,0,4,8,0.5,20.0,100.0,746.668,0.0,0,0.0,0.0
14.0,A,RUNNING,12.312,0,0,4,8,0.5,20.0,100.0,745.668,0.0,0,0.0,0.0
15.0,A,RUNNING,13.312,0,0,4,8,0.5,20.0,100.0,744.668,0.0,0,0.0,0.0
16.0,A,RUNNING,14.312,0,0,4,8,0.5,20.0,100.0,743.668,0.0,0,0.0,0.0
17.0,A,RUNNING,15.312,0,0,4,8,0.5,20.0,100.0,742.668,0.0,0,0.0,0.0
18.0,A,RUNNING,16.312,0,0,4,8,0.5,20.0,100.0,741.668,0.0,0,0.0,0.0
19.0,A,RUNNING,17.316,0,0,4,8,0.5,20.0,100.0,740.664,0.0,0,0.0,0.0
20.0,A,RUNNING,18.312,0,0,4,8,0.5,20.0,100.0,739.668,0.0,0,0.0,0.0
21.0,A,RUNNING,19.312,0,0,4,8,0.5,20.0,100.0,738.668,0.0,0,0.0,0.0
22.0,A,RUNNING,20.312,0,0,4,8,0.5,20.0,100.0,737.668,0.0,0,0.0,0.0
23.0,A,RUNNING,21.316,0,0,4,8,0.5,20.0,100.0,736.664,0.0,0,0.0,0.0
24.0,A,RUNNING,22.312,0,0,4,8,0.5,20.0,100.0,735.668,0.0,0,0.0,0.0
25.0,A,RUNNING,23.312,0,0,4,8,0.5,20.0,100.0,734.668,0.0,0,0.0,0.0
26.0,A,RUNNING,24.312,0,0,4,8,0.5,20.0,100.0,733.668,0.0,0,0.0,0.0
27.0,A,RUNNING,25.312,0,0,4,8,0.5,20.0,100.0,732.668,0.0,0,0.0,0.0
28.0,A,RUNNING,26.312,0,0,4,8,0.5,20.0,100.0,731.668,0.0,0,0.0,0.0
29.0,A,RUNNING,27.312,0,0,4,8,0.5,20.0,100.0,730.668,0.0,0,0.0,0.0
30.0,A,RUNNING,28.312,0,0,4,8,0.5,20.0,100.0,729.668,0.0,0,0.0,0.0
31.0,A,RUNNING,29.312,0,0,4,8,0.5,20.0,100.0,728.668,0.0,0,0.0,0.0
32.0,A,RUNNING,30.312,0,0,4,8,0.5,20.0,100.0,727.668,0.0,0,0.0,0.0
33.0,A,RUNNING,31.312,0,0,4,8,0.5,20.0,100.0,726.668,0.0,0,0.0,0.0
34.0,A,RUNNING,32.312,0,0,4,8,0.5,20.0,100.0,725.668,0.0,0,0.0,0.0
35.0,A,RUNNING,33.312,0,0,4,8,0.5,20.0,100.0,724.668,0.0,0,0.0,0.0
36.0,A,RUNNING,34.312,0,0,4,8,0.5,20.0,100.0,723.668,0.0,0,0.0,0.0
37.0,A,RUNNING,35.312,0,0,4,8,0.5,20.0,100.0,722.668,0.0,0,0.0,0.0
38.0,A,RUNNING,36.312,0,0,4,8,0.5,20.0,100.0,721.668,0.0,0,0.0,0.0
39.0,A,RUNNING,37.312,0,0,4,8,0.5,20.0,100.0,720.668,0.0,0,0.0,0.0
40.0,A,RUNNING,38.312,0,0,4,8,0.5,20.0,100.0,719.668,0.0,0,0.0,0.0
