ts,run_id,order_id,activity,state,battery_percent,temperature_c,condition_percent,payload_kg,motor_load,speed,distance_delta_m,cumulative_distance_m,cumulative_energy_wh,cumulative_charged_wh
7.0,wp8_repeats,,idle,idle,99.996,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
8.0,wp8_repeats,,idle,idle,99.989,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0
9.0,wp8_repeats,,idle,idle,99.981,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0
10.0,wp8_repeats,,idle,idle,99.974,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0
11.0,wp8_repeats,,idle,idle,99.966,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0
12.0,wp8_repeats,,idle,idle,99.957,22.022,100.0,0.0,0.599,0.334,0.0886,0.089,0.0096,0.0
13.0,wp8_repeats,,idle,idle,99.938,22.053,100.0,0.0,0.836,0.466,0.4633,0.552,0.0135,0.0
14.0,wp8_repeats,,idle,idle,99.92,22.086,100.0,0.0,0.897,0.5,0.4722,1.024,0.0176,0.0
15.0,wp8_repeats,,idle,idle,99.901,22.119,100.0,0.0,0.888,0.495,0.5012,1.525,0.0217,0.0
16.0,wp8_repeats,,idle,idle,99.882,22.151,100.0,0.0,0.877,0.489,0.5013,2.027,0.0259,0.0
17.0,wp8_repeats,,idle,idle,99.864,22.184,100.0,0.0,0.882,0.491,0.4886,2.515,0.03,0.0
18.0,wp8_repeats,,idle,idle,99.845,22.216,100.0,0.0,0.884,0.493,0.4795,2.995,0.0341,0.0
19.0,wp8_repeats,,idle,idle,99.826,22.249,100.0,0.0,0.897,0.5,0.5012,3.496,0.0383,0.0
20.0,wp8_repeats,,idle,idle,99.807,22.282,100.0,0.0,0.884,0.493,0.4986,3.995,0.0424,0.0
21.0,wp8_repeats,,idle,idle,99.789,22.312,100.0,0.0,0.815,0.454,0.4748,4.469,0.0465,0.0
22.0,wp8_repeats,,idle,idle,99.77,22.343,99.999,0.0,0.864,0.481,0.4834,4.953,0.0506,0.0
23.0,wp8_repeats,,idle,idle,99.752,22.375,99.999,0.0,0.882,0.492,0.4598,5.413,0.0545,0.0
24.0,wp8_repeats,,idle,idle,99.733,22.408,99.999,0.0,0.893,0.497,0.4934,5.906,0.0586,0.0
25.0,wp8_repeats,,idle,idle,99.714,22.44,99.999,0.0,0.887,0.494,0.5013,6.407,0.0628,0.0
26.0,wp8_repeats,,idle,idle,99.696,22.473,99.999,0.0,0.89,0.496,0.4995,6.907,0.067,0.0
27.0,wp8_repeats,,idle,idle,99.677,22.505,99.999,0.0,0.892,0.497,0.4835,7.39,0.0711,0.0
28.0,wp8_repeats,,idle,idle,99.658,22.538,99.999,0.0,0.896,0.499,0.5036,7.894,0.0753,0.0
29.0,wp8_repeats,,idle,idle,99.639,22.567,99.999,0.0,0.801,0.447,0.4936,8.387,0.0794,0.0
30.0,wp8_repeats,,idle,idle,99.623,22.578,99.999,0.0,0.313,0.174,0.3582,8.746,0.0828,0.0
31.0,wp8_repeats,,idle,idle,99.616,22.577,99.999,0.0,0.0,0.0,0.0027,8.748,0.0845,0.0
32.0,wp8_repeats,,idle,idle,99.607,22.587,99.999,0.0,0.277,0.154,0.0681,8.816,0.0865,0.0
33.0,wp8_repeats,,idle,idle,99.596,22.593,99.999,0.0,0.183,0.102,0.1494,8.966,0.0889,0.0
34.0,wp8_repeats,,idle,idle,99.587,22.592,99.999,0.0,0.001,0.0,0.0431,9.009,0.0908,0.0
35.0,wp8_repeats,,idle,idle,99.579,22.6,99.999,0.0,0.229,0.128,0.0393,9.048,0.0927,0.0
36.0,wp8_repeats,,idle,idle,99.565,22.626,99.999,0.0,0.725,0.404,0.2808,9.329,0.0958,0.0
37.0,wp8_repeats,,idle,idle,99.548,22.652,99.999,0.0,0.701,0.391,0.4018,9.731,0.0994,0.0
38.0,wp8_repeats,,idle,idle,99.531,22.679,99.999,0.0,0.765,0.426,0.4057,10.136,0.1031,0.0
39.0,wp8_repeats,,idle,idle,99.513,22.71,99.999,0.0,0.86,0.479,0.4569,10.593,0.1071,0.0
40.0,wp8_repeats,,idle,idle,99.494,22.743,99.999,0.0,0.891,0.496,0.4962,11.089,0.1112,0.0
