actions,blocked_time_s,charge_trips,condition_percent,decision_ms,delivered_by_section,delivered_units,distance_m,end_battery_percent,energy_wh,lost_by_section,lost_units,min_battery_percent,policy,produced_units,scenario,score,seed,shift_s,split,violation_count,violations,wh_per_unit
55,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",13,99.95,0.0,"{'A': 18, 'B': 32, 'C': 4}",54,375.9,98.9,5.267,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.4,rule,54,balanced,51.37,5000,3600.7,seen,0,,0.0975
54,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",12,99.95,0.0,"{'A': 18, 'B': 30, 'C': 4}",52,372.0,100.0,5.237,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,51,balanced,49.38,5001,3600.8,seen,0,,0.1007
52,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.95,0.0,"{'A': 21, 'B': 30, 'C': 4}",55,376.4,97.9,5.307,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,95.6,rule,54,balanced,52.35,5002,3600.1,seen,0,,0.0965
56,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",10,99.96,0.0,"{'A': 18, 'B': 21, 'C': 4}",43,312.8,100.0,4.459,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,97.0,rule,46,balanced,40.77,5003,3601.0,seen,0,,0.1037
22,"{'A': 1874.0, 'B': 2190.4, 'C': 2045.8}",2,99.97,0.0,"{'A': 19, 'B': 21, 'C': 2}",42,202.1,95.4,3.285,"{'A': 20.82, 'B': 36.51, 'C': 5.68}",63.01,48.1,rule,46,heavy_load,-22.65,5000,3600.1,unseen,0,,0.0782
23,"{'A': 1951.2, 'B': 2083.3, 'C': 1809.6}",2,99.96,0.0,"{'A': 14, 'B': 25, 'C': 4}",43,214.9,92.7,3.55,"{'A': 21.68, 'B': 34.72, 'C': 5.03}",61.43,49.6,rule,47,heavy_load,-20.2,5001,3600.1,unseen,0,,0.0826
22,"{'A': 1769.3, 'B': 2238.9, 'C': 1949.7}",2,99.97,0.0,"{'A': 17, 'B': 17, 'C': 4}",38,204.4,95.0,3.367,"{'A': 19.66, 'B': 37.31, 'C': 5.42}",62.39,48.1,rule,45,heavy_load,-26.07,5002,3600.2,unseen,0,,0.0886
22,"{'A': 1911.9, 'B': 1237.8, 'C': 2007.9}",2,99.97,0.0,"{'A': 14, 'B': 21, 'C': 4}",39,208.4,95.1,3.347,"{'A': 21.24, 'B': 20.63, 'C': 5.58}",47.45,48.1,rule,44,heavy_load,-10.13,5003,3600.3,unseen,0,,0.0858
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",6,99.93,0.0,"{'A': 21, 'B': 31, 'C': 4}",56,461.7,90.5,6.752,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,90.5,ns,54,balanced,52.62,5000,3600.9,seen,0,,0.1206
61,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.91,0.0,"{'A': 20, 'B': 32, 'C': 4}",56,560.4,65.9,8.83,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,65.9,ns,56,balanced,51.59,5001,3600.1,seen,0,,0.1577
61,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",2,99.91,0.0,"{'A': 20, 'B': 30, 'C': 4}",54,592.6,65.3,8.958,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,65.3,ns,54,balanced,49.52,5002,3600.4,seen,0,,0.1659
53,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",9,99.93,0.0,"{'A': 19, 'B': 22, 'C': 4}",45,481.8,91.8,6.876,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,91.8,ns,45,balanced,41.56,5003,3600.4,seen,0,,0.1528
48,"{'A': 1602.0, 'B': 1055.9, 'C': 1019.6}",1,99.93,0.0,"{'A': 16, 'B': 37, 'C': 4}",57,300.7,36.6,7.117,"{'A': 17.8, 'B': 17.6, 'C': 2.83}",38.23,17.6,ns,70,heavy_load,15.21,5000,3600.0,unseen,0,,0.1249
45,"{'A': 977.1, 'B': 949.3, 'C': 579.2}",1,99.93,0.0,"{'A': 20, 'B': 37, 'C': 5}",62,372.1,39.3,7.443,"{'A': 10.86, 'B': 15.82, 'C': 1.61}",28.29,16.2,ns,80,heavy_load,29.99,5001,3600.2,unseen,0,,0.12
47,"{'A': 1095.3, 'B': 987.2, 'C': 848.2}",1,99.93,0.0,"{'A': 22, 'B': 39, 'C': 6}",67,352.6,38.9,7.338,"{'A': 12.17, 'B': 16.45, 'C': 2.36}",30.98,16.6,ns,80,heavy_load,32.35,5002,3600.1,unseen,0,,0.1095
48,"{'A': 515.4, 'B': 816.6, 'C': 672.6}",1,99.93,0.0,"{'A': 25, 'B': 24, 'C': 6}",55,357.9,37.3,7.445,"{'A': 5.73, 'B': 13.61, 'C': 1.87}",21.21,16.2,ns,74,heavy_load,30.07,5003,3600.6,unseen,0,,0.1354
62,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.91,0.0,"{'A': 20, 'B': 30, 'C': 4}",54,611.9,64.1,9.113,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,64.1,ns_symbolic_only,53,balanced,49.44,5000,3601.0,seen,0,,0.1688
66,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0,99.9,0.0,"{'A': 20, 'B': 29, 'C': 4}",53,643.9,56.3,9.618,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,56.3,ns_symbolic_only,51,balanced,48.19,5001,3601.0,seen,0,,0.1815
65,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0,99.9,0.0,"{'A': 19, 'B': 32, 'C': 4}",55,644.6,56.3,9.621,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,56.3,ns_symbolic_only,54,balanced,50.19,5002,3600.8,seen,0,,0.1749
61,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",1,99.91,0.0,"{'A': 19, 'B': 22, 'C': 5}",46,594.1,67.0,8.828,"{'A': 0.0, 'B': 0.0, 'C': 0.0}",0.0,67.0,ns_symbolic_only,44,balanced,41.59,5003,3600.3,seen,0,,0.1919
50,"{'A': 807.2, 'B': 675.4, 'C': 521.9}",1,99.92,0.0,"{'A': 31, 'B': 43, 'C': 6}",80,468.6,38.5,7.598,"{'A': 8.97, 'B': 11.26, 'C': 1.45}",21.67,17.0,ns_symbolic_only,87,heavy_load,54.53,5000,3600.6,unseen,0,,0.095
49,"{'A': 692.9, 'B': 740.2, 'C': 570.0}",1,99.92,0.0,"{'A': 32, 'B': 49, 'C': 6}",87,479.8,36.9,7.792,"{'A': 7.7, 'B': 12.34, 'C': 1.58}",21.62,17.7,ns_symbolic_only,87,heavy_load,61.49,5001,3600.2,unseen,0,,0.0896
49,"{'A': 592.7, 'B': 899.5, 'C': 633.4}",1,99.92,0.0,"{'A': 30, 'B': 40, 'C': 7}",77,481.3,37.4,7.825,"{'A': 6.59, 'B': 14.99, 'C': 1.76}",23.34,17.1,ns_symbolic_only,87,heavy_load,49.75,5002,3600.2,unseen,0,,0.1016
51,"{'A': 313.0, 'B': 518.0, 'C': 705.8}",2,99.92,0.0,"{'A': 32, 'B': 29, 'C': 6}",67,485.3,36.3,7.699,"{'A': 3.48, 'B': 8.63, 'C': 1.96}",14.07,17.3,ns_symbolic_only,80,heavy_load,49.08,5003,3600.4,unseen,0,,0.1149
