model,scenario,seed,source,score,delivered_units,lost_units,energy_wh,wh_per_unit,distance_m,charge_trips,min_battery_percent,violation_count,actions,failed_actions,fallback_decisions,nav_failures,shift_s,wall_s,run_id
ns,balanced,5000,gazebo,16.39,18,0.0,3.214,0.1786,218.13,0,85.3,0,22,0,0,0,1208.8,1238,run_20260917_150534
ns,balanced,5000,sim,17.37,19,0.0,3.262,0.1717,220.7,0,85.2,0,22,,,,1225.9,,
ppo,balanced,5000,gazebo,13.09,15,0.0,3.822,0.2548,269.05,0,82.5,0,19,0,0,0,1248.0,1278,run_20260917_152614
ppo,balanced,5000,sim,17.16,19,0.0,3.672,0.1933,258.5,0,83.3,0,19,,,,1232.9,,
ppo,low_battery_start,5000,gazebo,19.03,20,0.0,1.941,0.097,126.74,1,25.4,0,11,0,1,0,1223.3,1306,run_20260917_162241
ppo,low_battery_start,5000,sim,19.01,20,0.0,1.977,0.0989,128.3,1,25.4,0,11,,,,1237.1,,
ns,heavy_load,5000,gazebo,32.21,34,0.0,3.574,0.1051,225.82,0,33.7,0,22,0,0,0,1229.1,1268,run_20260917_164427
ns,heavy_load,5000,sim,33.23,35,0.0,3.547,0.1013,224.7,0,33.9,0,22,,,,1236.3,,
ppo,heavy_load,5000,gazebo,30.03,32,0.0,3.948,0.1234,242.68,0,32.0,0,21,0,1,0,1245.2,1284,run_20260917_170536
ppo,heavy_load,5000,sim,31.09,33,0.0,3.829,0.116,235.5,0,32.6,0,20,,,,1204.0,,
ns,balanced,5001,gazebo,15.35,17,0.0,3.3,0.1941,223.92,0,84.9,0,22,1,0,1,1229.0,1283,run_20260917_172700
ns,balanced,5001,sim,16.37,18,0.0,3.257,0.181,220.7,0,85.2,0,22,,,,1225.9,,
ppo,balanced,5001,gazebo,18.17,20,0.0,3.652,0.1826,256.6,0,83.3,0,20,0,1,0,1224.9,1269,run_20260917_174825
ppo,balanced,5001,sim,18.12,20,0.0,3.751,0.1875,258.5,0,83.0,0,19,,,,1232.9,,
ppo,low_battery_start,5001,gazebo,19.03,20,0.0,1.932,0.0966,126.4,1,25.5,0,11,0,0,0,1215.8,1281,run_20260917_184438
ppo,low_battery_start,5001,sim,20.01,21,0.0,1.982,0.0944,128.3,1,25.4,0,11,,,,1237.1,,
ns,low_battery_start,5000,gazebo,8.61,9,0.0,0.776,0.0862,57.15,0,26.4,0,5,1,0,1,266.2,319,run_20260920_085315
ns,low_battery_start,5000,sim,15.91,20,2.58,3.025,0.1513,190.4,1,16.2,0,21,,,,2139.3,,
ns,low_battery_start,5001,gazebo,17.69,20,0.83,2.956,0.1478,193.97,1,16.5,0,20,0,0,0,2069.7,2123,run_20260920_085837
ns,low_battery_start,5001,sim,18.87,21,0.67,2.913,0.1387,184.0,1,16.8,0,20,,,,2070.9,,
ns,heavy_load,5001,gazebo,32.28,34,0.0,3.438,0.1011,215.48,0,34.3,0,22,0,0,0,1201.9,1233,run_20260920_093400
ns,heavy_load,5001,sim,33.23,35,0.0,3.546,0.1013,224.7,0,33.9,0,22,,,,1236.3,,
ppo,heavy_load,5001,gazebo,28.66,31,0.4,3.879,0.1251,251.57,0,32.3,0,20,1,1,1,1213.3,1387,run_20260920_095433
ppo,heavy_load,5001,sim,32.07,34,0.0,3.859,0.1135,238.0,0,32.5,0,21,,,,1240.4,,
