detail,driven_m,energy_wh,from,goal_error_m,matrix_m,min_clearance_m,planned_m,planner,planning_ms,success,time_s,to,turning_rad
status 4 error 0,8.636,0.0769,charger,0.236,9.04,0.335,9.16,NavfnDijkstra,26.6,True,19.97,A,9.952
status 4 error 0,10.437,0.1007,A,0.219,10.01,0.453,10.552,NavfnDijkstra,4.0,True,28.59,delivery,11.651
status 4 error 0,10.122,0.0908,delivery,0.22,10.26,0.35,10.514,NavfnDijkstra,4.0,True,23.86,B,7.911
status 4 error 0,10.023,0.0952,B,0.205,10.26,0.453,10.119,NavfnDijkstra,4.0,True,27.44,delivery,1.901
status 4 error 0,6.244,0.0612,delivery,0.091,6.3,0.45,6.314,NavfnDijkstra,4.0,True,17.68,C,5.322
status 4 error 0,6.429,0.0622,C,0.194,6.3,0.35,6.336,NavfnDijkstra,8.43,True,18.15,delivery,4.797
status 4 error 0,5.283,0.0532,delivery,0.08,5.1,0.55,5.33,NavfnDijkstra,18.51,True,15.82,charger,3.533
status 4 error 0,9.021,0.0824,charger,0.194,9.04,0.335,9.678,NavfnAStar,21.15,True,22.29,A,19.466
status 4 error 0,10.665,0.1038,A,0.186,10.01,0.461,10.744,NavfnAStar,26.5,True,29.6,delivery,13.344
status 4 error 0,10.783,0.0978,delivery,0.212,10.26,0.354,11.504,NavfnAStar,4.0,True,25.82,B,22.346
status 4 error 0,10.17,0.0965,B,0.096,10.26,0.424,10.291,NavfnAStar,19.85,True,27.76,delivery,8.968
status 4 error 0,6.41,0.0641,delivery,0.077,6.3,0.45,6.7,NavfnAStar,8.06,True,18.2,C,9.169
status 4 error 0,6.335,0.0622,C,0.144,6.3,0.35,6.286,NavfnAStar,9.99,True,17.99,delivery,1.793
status 4 error 0,5.283,0.0519,delivery,0.066,5.1,0.6,5.193,NavfnAStar,20.65,True,15.49,charger,1.635
status 4 error 0,8.912,0.0802,charger,0.085,9.04,0.283,9.014,Smac2D,8.0,True,21.15,A,5.77
status 4 error 0,10.759,0.1015,A,0.183,10.01,0.45,10.703,Smac2D,8.0,True,27.8,delivery,6.481
status 4 error 0,10.445,0.0951,delivery,0.149,10.26,0.381,10.535,Smac2D,4.0,True,25.27,B,4.783
status 4 error 0,10.391,0.0981,B,0.128,10.26,0.335,10.259,Smac2D,12.0,True,26.81,delivery,3.048
status 4 error 0,6.381,0.0626,delivery,0.126,6.3,0.364,6.433,Smac2D,8.3,True,18.07,C,2.263
status 4 error 0,6.418,0.0629,C,0.107,6.3,0.35,6.278,Smac2D,4.0,True,18.01,delivery,1.993
status 4 error 0,5.293,0.054,delivery,0.072,5.1,0.364,5.216,Smac2D,4.0,True,15.87,charger,1.426
status 4 error 0,8.745,0.0784,charger,0.186,9.04,0.335,8.998,ThetaStar,4.0,True,20.17,A,6.639
status 4 error 0,10.194,0.0959,A,0.214,10.01,0.316,10.145,ThetaStar,4.0,True,26.08,delivery,4.422
status 4 error 0,10.185,0.0927,delivery,0.15,10.26,0.354,10.471,ThetaStar,4.0,True,23.72,B,5.532
status 4 error 0,10.278,0.0963,B,0.185,10.26,0.354,10.101,ThetaStar,4.0,True,25.98,delivery,4.107
status 4 error 0,6.234,0.0605,delivery,0.095,6.3,0.45,6.223,ThetaStar,4.0,True,17.14,C,0.99
status 4 error 0,6.435,0.0633,C,0.154,6.3,0.35,6.274,ThetaStar,4.0,True,17.52,delivery,1.196
status 4 error 0,5.305,0.0525,delivery,0.064,5.1,0.585,5.172,ThetaStar,5.7,True,15.47,charger,1.283
status 4 error 0,8.923,0.0816,charger,0.242,9.04,0.283,9.214,SmacLattice,28.0,True,20.55,A,6.862
status 4 error 0,10.667,0.1003,A,0.212,10.01,0.412,10.703,SmacLattice,692.0,True,26.53,delivery,8.413
status 4 error 0,10.158,0.0912,delivery,0.209,10.26,0.361,10.511,SmacLattice,12.0,True,23.38,B,3.362
status 4 error 0,10.365,0.0972,B,0.249,10.26,0.4,10.314,SmacLattice,796.0,True,25.88,delivery,4.428
status 4 error 0,6.37,0.0615,delivery,0.116,6.3,0.45,6.631,SmacLattice,12.0,True,16.63,C,3.637
status 4 error 0,6.398,0.0633,C,0.202,6.3,0.4,6.297,SmacLattice,260.0,True,17.7,delivery,1.429
status 4 error 0,6.134,0.0738,delivery,0.145,5.1,0.492,8.103,SmacLattice,28.0,True,24.98,charger,7.722
