detail,driven_m,energy_wh,from,goal_error_m,matrix_m,min_clearance_m,planned_m,planner,planning_ms,repeat,success,time_s,to,turning_rad
status 4 error 0,8.651,0.077,charger,0.185,9.04,0.335,9.16,NavfnDijkstra,4.0,0,True,19.95,A,9.952
status 4 error 0,10.501,0.101,A,0.212,10.01,0.447,10.526,NavfnDijkstra,30.31,0,True,28.45,delivery,13.826
status 4 error 0,10.064,0.0906,delivery,0.239,10.26,0.35,10.459,NavfnDijkstra,4.0,0,True,23.75,B,8.224
status 4 error 0,10.071,0.0938,B,0.174,10.26,0.412,10.108,NavfnDijkstra,26.2,0,True,26.65,delivery,1.471
status 4 error 0,6.282,0.0616,delivery,0.086,6.3,0.4,6.374,NavfnDijkstra,11.39,0,True,17.52,C,6.903
status 4 error 0,6.478,0.0624,C,0.175,6.3,0.3,6.415,NavfnDijkstra,10.01,0,True,18.37,delivery,3.943
status 4 error 0,5.255,0.0531,delivery,0.091,5.1,0.522,5.254,NavfnDijkstra,9.56,0,True,15.48,charger,5.172
status 4 error 0,8.833,0.0797,charger,0.191,9.04,0.3,9.753,NavfnAStar,4.0,0,True,21.62,A,18.429
status 4 error 0,10.556,0.1015,A,0.152,10.01,0.427,10.553,NavfnAStar,18.18,0,True,28.38,delivery,9.524
status 4 error 0,10.28,0.0938,delivery,0.22,10.26,0.4,11.074,NavfnAStar,18.35,0,True,25.2,B,18.46
status 4 error 0,10.116,0.0945,B,0.146,10.26,0.43,10.168,NavfnAStar,18.02,0,True,26.4,delivery,2.189
status 4 error 0,6.367,0.0622,delivery,0.089,6.3,0.45,6.425,NavfnAStar,9.69,0,True,18.32,C,4.604
status 4 error 0,6.466,0.0645,C,0.121,6.3,0.3,6.652,NavfnAStar,9.6,0,True,18.61,delivery,11.269
status 4 error 0,5.304,0.0536,delivery,0.065,5.1,0.6,5.198,NavfnAStar,12.14,0,True,15.78,charger,1.345
status 4 error 0,9.009,0.0808,charger,0.06,9.04,0.283,8.87,Smac2D,8.0,0,True,21.35,A,5.803
status 4 error 0,10.644,0.1008,A,0.142,10.01,0.43,10.588,Smac2D,8.0,0,True,27.61,delivery,6.42
status 4 error 0,10.447,0.0952,delivery,0.213,10.26,0.381,10.574,Smac2D,4.0,0,True,25.15,B,4.64
status 4 error 0,10.278,0.0975,B,0.105,10.26,0.354,10.253,Smac2D,16.0,0,True,26.63,delivery,3.14
