from,length_m,matrix_m,mean_clearance_m,min_clearance_m,planner,planning_ms,poses,repeat,status,to,turning_rad
A,18.469,18.28,0.6,0.35,NavfnDijkstra,4.0,737,0,ok,B,17.4
A,18.469,18.28,0.6,0.35,NavfnDijkstra,4.0,737,1,ok,B,17.4
A,18.469,18.28,0.6,0.35,NavfnDijkstra,26.1,737,2,ok,B,17.4
A,15.783,15.56,0.596,0.335,NavfnDijkstra,26.7,630,0,ok,C,11.6
A,15.783,15.56,0.596,0.335,NavfnDijkstra,36.39,630,1,ok,C,11.6
A,15.783,15.56,0.596,0.335,NavfnDijkstra,22.62,630,2,ok,C,11.6
A,10.153,10.01,0.607,0.335,NavfnDijkstra,16.94,404,0,ok,delivery,7.95
A,10.153,10.01,0.607,0.335,NavfnDijkstra,20.63,404,1,ok,delivery,7.95
A,10.153,10.01,0.607,0.335,NavfnDijkstra,24.17,404,2,ok,delivery,7.95
A,9.124,9.04,0.546,0.335,NavfnDijkstra,21.55,364,0,ok,charger,8.133
A,9.124,9.04,0.546,0.335,NavfnDijkstra,12.07,364,1,ok,charger,8.133
A,9.124,9.04,0.546,0.335,NavfnDijkstra,18.49,364,2,ok,charger,8.133
B,18.281,18.28,0.627,0.381,NavfnDijkstra,4.0,729,0,ok,A,12.454
B,18.281,18.28,0.627,0.381,NavfnDijkstra,37.74,729,1,ok,A,12.454
B,18.281,18.28,0.627,0.381,NavfnDijkstra,32.14,729,2,ok,A,12.454
B,9.344,9.24,0.559,0.391,NavfnDijkstra,4.0,371,0,ok,C,7.246
B,9.344,9.24,0.559,0.391,NavfnDijkstra,21.78,371,1,ok,C,7.246
B,9.344,9.24,0.559,0.391,NavfnDijkstra,16.86,371,2,ok,C,7.246
B,10.241,10.26,0.668,0.381,NavfnDijkstra,4.0,410,0,ok,delivery,1.662
B,10.241,10.26,0.668,0.381,NavfnDijkstra,4.0,410,1,ok,delivery,1.662
B,10.241,10.26,0.668,0.381,NavfnDijkstra,21.22,410,2,ok,delivery,1.662
